"Time","Sonar Distance Measure (mm)"
2023-10-14 01:10:12,1165
2023-10-14 01:20:13,990
2023-10-14 01:30:18,830
2023-10-14 01:40:12,715
2023-10-14 01:50:13,711
2023-10-14 02:00:12,700
2023-10-14 02:10:17,710
2023-10-14 02:20:18,760
2023-10-14 02:30:13,865
2023-10-14 02:40:12,1005
2023-10-14 02:50:13,1150
2023-10-14 03:00:17,1330
2023-10-14 03:10:12,1550
2023-10-14 03:20:13,1670
2023-10-14 03:30:13,1870
2023-10-14 03:40:12,2095
2023-10-14 03:50:13,2345
2023-10-14 04:00:12,2565
2023-10-14 13:10:12,1395
2023-10-14 13:20:12,1285
2023-10-14 13:30:13,1145
2023-10-14 13:40:13,1015
2023-10-14 13:50:12,900
2023-10-14 14:00:17,795
2023-10-14 14:10:12,715
2023-10-14 14:20:13,710
2023-10-14 14:30:13,785
2023-10-14 14:40:13,845
2023-10-14 14:50:13,930
2023-10-14 15:00:12,1035
2023-10-14 15:10:12,1200
2023-10-14 15:20:13,1380
2023-10-14 15:30:13,1585
2023-10-14 15:40:13,1760
2023-10-14 15:50:12,1885
2023-10-14 16:00:12,2085
2023-10-14 16:10:13,2295
2023-10-15 01:20:13,1770
2023-10-15 01:30:13,1635
2023-10-15 01:40:18,1485
2023-10-15 01:50:13,1315
2023-10-15 02:00:18,1140
2023-10-15 02:10:13,990
2023-10-15 02:20:13,900
2023-10-15 02:30:13,835
2023-10-15 02:40:13,795
2023-10-15 02:50:13,755
2023-10-15 03:00:18,790
2023-10-15 03:10:13,925
2023-10-15 03:20:12,1075
2023-10-15 03:30:17,1240
2023-10-15 03:40:12,1425
2023-10-15 03:50:12,1630
2023-10-15 04:00:13,1800
2023-10-15 04:10:18,2005
2023-10-15 04:20:13,2110
2023-10-15 04:30:13,2310
2023-10-15 13:40:13,1630
2023-10-15 13:50:12,1485
2023-10-15 14:00:17,1335
2023-10-15 14:10:17,1185
2023-10-15 14:20:12,1045
2023-10-15 14:30:12,900
2023-10-15 14:40:12,820
2023-10-15 14:50:13,821
2023-10-15 15:00:13,870
2023-10-15 15:10:12,895
2023-10-15 15:20:12,940
2023-10-15 15:30:12,1100
2023-10-15 15:40:13,1280
2023-10-15 15:50:13,1500
2023-10-15 16:00:13,1655
2023-10-15 16:10:13,1845
2023-10-15 16:20:18,2050
2023-10-15 16:30:12,2180
2023-10-15 16:40:12,2405
2023-10-15 16:50:13,2630
2023-10-15 17:00:13,2845
2023-10-16 02:10:13,1685
2023-10-16 02:20:13,1495
2023-10-16 02:30:13,1310
2023-10-16 02:40:18,1130
2023-10-16 02:50:13,990
2023-10-16 03:00:13,915
2023-10-16 03:10:13,925
2023-10-16 03:20:17,940
2023-10-16 03:30:12,980
2023-10-16 03:40:17,1050
2023-10-16 03:50:13,1180
2023-10-16 04:00:12,1365
2023-10-16 04:10:12,1590
2023-10-16 04:20:12,1825
2023-10-16 04:30:13,2040
2023-10-16 04:40:13,2235
2023-10-16 04:50:13,2370
2023-10-16 05:00:18,2590
2023-10-16 05:10:13,2810
2023-10-16 14:20:13,1660
2023-10-16 14:30:13,1495
2023-10-16 14:40:13,1295
2023-10-16 14:50:13,1110
2023-10-16 15:00:13,970
2023-10-16 15:10:13,900
2023-10-16 15:20:12,880
2023-10-16 15:30:13,895
2023-10-16 15:40:12,925
2023-10-16 15:50:12,1025
2023-10-16 16:00:12,1175
2023-10-16 16:10:13,1370
2023-10-16 16:20:13,1580
2023-10-16 16:30:13,1805
2023-10-16 16:40:13,2020
2023-10-16 16:50:13,2240
2023-10-16 17:00:13,2370
2023-10-16 17:10:12,2600
2023-10-16 17:20:12,2800
2023-10-16 17:30:13,3015
2023-10-16 17:40:12,3220
2023-10-16 17:50:12,3420
2023-10-16 18:00:13,3595
2023-10-16 18:10:13,3780
2023-10-17 00:40:13,4135
2023-10-17 00:50:13,3870
2023-10-17 01:00:13,3590
2023-10-17 01:10:12,3310
2023-10-17 01:20:13,3080
2023-10-17 01:30:13,2865
2023-10-17 01:40:13,2680
2023-10-17 01:50:13,2515
2023-10-17 02:00:13,2375
2023-10-17 02:10:13,2225
2023-10-17 02:20:13,1995
2023-10-17 02:30:13,1775
2023-10-17 02:40:12,1585
2023-10-17 02:50:13,1395
2023-10-17 03:00:12,1195
2023-10-17 03:10:12,1010
2023-10-17 03:20:17,880
2023-10-17 03:30:12,800
2023-10-17 03:40:12,780
2023-10-17 03:50:12,785
2023-10-17 04:00:12,820
2023-10-17 04:10:12,895
2023-10-17 04:20:13,1010
2023-10-17 04:30:12,1200
2023-10-17 04:40:12,1425
2023-10-17 04:50:12,1665
2023-10-17 05:00:12,1885
2023-10-17 05:10:12,2115
2023-10-17 05:20:13,2325
2023-10-17 05:30:13,2440
2023-10-17 05:40:13,2670
2023-10-17 05:50:13,2900
2023-10-17 06:00:13,3100
2023-10-17 06:10:13,3260
2023-10-17 06:20:13,3510
2023-10-17 06:30:12,3685
2023-10-17 06:40:12,3870
2023-10-17 13:10:12,2975
2023-10-17 13:20:13,2750
2023-10-17 13:30:13,2605
2023-10-17 13:40:13,2480
2023-10-17 13:50:13,2355
2023-10-17 14:00:13,2200
2023-10-17 14:10:12,2040
2023-10-17 14:20:12,1890
2023-10-17 14:30:12,1755
2023-10-17 14:40:12,1595
2023-10-17 14:50:13,1420
2023-10-17 15:00:13,1255
2023-10-17 15:10:13,1065
2023-10-17 15:20:13,905
2023-10-17 15:30:13,810
2023-10-17 15:40:12,715
2023-10-17 15:50:12,675
2023-10-17 16:00:17,670
2023-10-17 16:10:17,705
2023-10-17 16:20:12,820
2023-10-17 16:30:12,980
2023-10-17 16:40:12,1175
2023-10-17 16:50:12,1360
2023-10-17 17:00:12,1580
2023-10-17 17:10:12,1795
2023-10-17 17:20:12,2025
2023-10-17 17:30:12,2245
2023-10-17 17:40:12,2360
2023-10-17 17:50:12,2575
2023-10-17 18:00:13,2810
2023-10-18 03:10:12,1680
2023-10-18 03:20:12,1490
2023-10-18 03:30:13,1315
2023-10-18 03:40:13,1140
2023-10-18 03:50:12,1035
2023-10-18 04:00:17,980
2023-10-18 04:10:13,965
2023-10-18 04:20:13,960
2023-10-18 04:30:12,985
2023-10-18 04:40:12,1050
2023-10-18 04:50:13,1235
2023-10-18 05:00:13,1435
2023-10-18 05:10:12,1660
2023-10-18 05:20:12,1870
2023-10-18 05:30:13,2065
2023-10-18 05:40:13,2300
2023-10-18 05:50:12,2445
2023-10-18 15:00:12,2015
2023-10-18 15:10:13,1835
2023-10-18 15:20:13,1675
2023-10-18 15:30:12,1505
2023-10-18 15:40:13,1315
2023-10-18 15:50:13,1130
2023-10-18 16:00:12,1025
2023-10-18 16:10:13,940
2023-10-18 16:20:12,940
2023-10-18 16:30:12,910
2023-10-18 16:40:13,940
2023-10-18 16:50:13,1015
2023-10-18 17:00:12,1160
2023-10-18 17:10:13,1335
2023-10-18 17:20:13,1570
2023-10-18 17:30:12,1765
2023-10-18 17:40:13,1955
2023-10-18 17:50:13,2165
2023-10-18 18:00:12,2340
2023-10-18 18:10:12,2495
2023-10-18 18:20:13,2700
2023-10-18 18:30:12,2915
2023-10-18 18:40:12,3115
2023-10-18 18:50:13,3305
2023-10-18 19:00:12,3465
2023-10-19 04:10:12,1360
